,Team,league
0,Liverpool,Premier League
1,Arsenal,Premier League
2,Manchester City,Premier League
3,Chelsea,Premier League
4,Newcastle United,Premier League
5,Aston Villa,Premier League
6,Nottingham Forest,Premier League
7,Brighton,Premier League
8,Bournemouth,Premier League
9,Brentford,Premier League
10,Fulham,Premier League
11,Crystal Palace,Premier League
12,Everton,Premier League
13,West Ham,Premier League
14,Manchester United,Premier League
15,Wolverhampton Wanderers,Premier League
16,Tottenham,Premier League
17,Leicester City,Premier League
18,Ipswich Town,Premier League
19,Southampton,Premier League
21,Barcelona,La Liga
22,Real Madrid,La Liga
23,Atlético Madrid,La Liga
24,Athletic Club,La Liga
25,Villarreal,La Liga
26,Betis,La Liga
27,Celta Vigo,La Liga
28,Rayo Vallecano,La Liga
29,Osasuna,La Liga
30,Mallorca,La Liga
31,Real Sociedad,La Liga
32,Valencia,La Liga
33,Getafe,La Liga
34,Espanyol,La Liga
35,Alavés,La Liga
36,Girona,La Liga
37,Sevilla,La Liga
38,Leganés,La Liga
39,Las Palmas,La Liga
40,Valladolid,La Liga
41,Bayern Munich,Bundesliga
42,Leverkusen,Bundesliga
43,Eint Frankfurt,Bundesliga
44,Dortmund,Bundesliga
45,Freiburg,Bundesliga
46,Mainz 05,Bundesliga
47,RB Leipzig,Bundesliga
48,Werder Bremen,Bundesliga
49,Stuttgart,Bundesliga
50,Gladbach,Bundesliga
51,Wolfsburg,Bundesliga
52,Augsburg,Bundesliga
53,Union Berlin,Bundesliga
54,St pauli,Bundesliga
56,Heidenheim,Bundesliga
57,Holstein Kiel,Bundesliga
58,Bochum,Bundesliga
59,Napoli,Serie A
60,Inter,Serie A
61,Atalanta,Serie A
62,Juventus,Serie A
63,Roma,Serie A
64,Fiorentina,Serie A
65,Lazio,Serie A
66,Milan,Serie A
67,Bologna,Serie A
68,Como,Serie A
69,Torino,Serie A
70,Udinese,Serie A
71,Genoa,Serie A
72,Hellas Verona,Serie A
73,Cagliari,Serie A
74,Parma,Serie A
75,Lecce,Serie A
76,Empoli,Serie A
77,Venezia,Serie A
78,Monza,Serie A
79,Paris S-G,Ligue 1
80,Marseille,Ligue 1
81,Monaco,Ligue 1
82,Nice,Ligue 1
83,Lille,Ligue 1
84,Lyon,Ligue 1
86,Lens,Ligue 1
87,Brest,Ligue 1
88,Toulouse,Ligue 1
89,Auxerre,Ligue 1
90,Rennes,Ligue 1
91,Nantes,Ligue 1
92,Angers,Ligue 1
93,Le Havre,Ligue 1
94,Reims,Ligue 1
95,Saint-Étienne,Ligue 1
96,Montpellier,Ligue 1
